Plant_Name,English name,Finnish name,Section,hankitaID,taksoni_nro,Status,Notes,Check,,,,
Acacia dealbata,,,"G-HJ 	JATKOKASVATUS",53281,402,OSASTOLLA,,"G-HJ 	JATKOKASVATUS",,,,
Acacia horrida,,,"G-HB 	KESÃ„SATEIDEN ALUE",17760,405,OSASTOLLA,,"G-HB 	KESÃ„SATEIDEN ALUE",,,,
Acacia melanoxylon,,,"G-HD 	TALVISAT. L. VÃ„LIMEREN ILMASTOALUE",12198,407,OSASTOLLA,,"G-HD 	TALVISAT. L. VÃ„LIMEREN ILMASTOALUE",,,,
Acacia retinoides,,,"G-HD 	TALVISAT. L. VÃ„LIMEREN ILMASTOALUE",32613,409,OSASTOLLA,,"G-HD 	TALVISAT. L. VÃ„LIMEREN ILMASTOALUE",,,,
Acacia rubida,,,"G-HD 	TALVISAT. L. VÃ„LIMEREN ILMASTOALUE",17761,410,OSASTOLLA,,"G-HD 	TALVISAT. L. VÃ„LIMEREN ILMASTOALUE",,,,
Acacia rubida,,,"G-HL 	LISÃ„YSHUONE",17761,410,OSASTOLLA,,"G-HL 	LISÃ„YSHUONE",,,,
Acaena magellanica,,,"S-O 	SYSTEMAATTINEN OSASTO",13438,417,OSASTOLLA,,"S-O 	SYSTEMAATTINEN OSASTO",,,,
Acalypha hispida,,,"G-HA 	TROOPPINEN HUONE",5215,419,OSASTOLLA,,"G-HA 	TROOPPINEN HUONE",,,,
Acalypha reptans,,,"G-HA 	TROOPPINEN HUONE",17750,420,OSASTOLLA,,"G-HA 	TROOPPINEN HUONE",,,,
Acalypha wilkesiana -hybr.,,,"G-HA 	TROOPPINEN HUONE",4973,421,OSASTOLLA,,"G-HA 	TROOPPINEN HUONE",,,,
Acalypha wilkesiana -hybr.,,,"G-HA 	TROOPPINEN HUONE",31884,421,OSASTOLLA,,"G-HA 	TROOPPINEN HUONE",,,,
Acanthostachys strobilacea,,,"G-HA 	TROOPPINEN HUONE",16785,426,OSASTOLLA,,"G-HA 	TROOPPINEN HUONE",,,,
Acanthus balcanicus,,,"G-HD 	TALVISAT. L. VÃ„LIMEREN ILMASTOALUE",34927,427,OSASTOLLA,,"G-HD 	TALVISAT. L. VÃ„LIMEREN ILMASTOALUE",,,,
Acanthus balcanicus,,,"S-O 	SYSTEMAATTINEN OSASTO",12508,427,OSASTOLLA,,"S-O 	SYSTEMAATTINEN OSASTO",,,,
Acanthus mollis,,,"G-HD 	TALVISAT. L. VÃ„LIMEREN ILMASTOALUE",2456,430,OSASTOLLA,,"G-HD 	TALVISAT. L. VÃ„LIMEREN ILMASTOALUE",,,,
Acanthus mollis,,,"G-HK 	KURSSIKASVATUS- JA KOEHUONE",55651,430,OSASTOLLA,,"G-HK 	KURSSIKASVATUS- JA KOEHUONE",,,,
Acer barbinerve,,Viitavaahtera,"X-TA 	TAIMISTO",57529,432,OSASTOLLA,,"X-TA 	TAIMISTO",,,,
Acer campestre,,Niverävaahtera,"X-TA 	TAIMISTO",25349,434,OSASTOLLA,,"X-TA 	TAIMISTO",,,,
Acer campestre var. leiocarpum,,,"R-O 	ARBORETUM",31020,435,OSASTOLLA,,"R-O 	ARBORETUM",,,,
Acer circinatum,,Viinivaahtera,"R-O 	ARBORETUM",25707,436,OSASTOLLA,,"R-O 	ARBORETUM",,,,
Acer glabrum,,,"R-O 	ARBORETUM",35601,438,OSASTOLLA,,"R-O 	ARBORETUM",,,,
Acer glabrum var. douglasii,,Alaskanvaahtera,"R-O 	ARBORETUM",40676,439,OSASTOLLA,,"R-O 	ARBORETUM",,,,
Acer mono,,,"R-O 	ARBORETUM",16163,444,OSASTOLLA,,"R-O 	ARBORETUM",,,,
Acer negundo,,Saarnivaahtera,"P-O 	PUUTARHAKASVIT OSASTO",25724,446,OSASTOLLA,,"P-O 	PUUTARHAKASVIT OSASTO",,,,
Acer negundo,,Saarnivaahtera,"R-O 	ARBORETUM",25611,446,OSASTOLLA,,"R-O 	ARBORETUM",,,,
Acer negundo,,Saarnivaahtera,"R-O 	ARBORETUM",29271,446,OSASTOLLA,,"R-O 	ARBORETUM",,,,
Acer negundo,,Saarnivaahtera,"S-O 	SYSTEMAATTINEN OSASTO",25611,446,OSASTOLLA,,"S-O 	SYSTEMAATTINEN OSASTO",,,,
Acer negundo,,Saarnivaahtera,"V-8 	KESKUSNURMIKKO",34574,446,OSASTOLLA,,"V-8 	KESKUSNURMIKKO",,,,
Acer nigrum,,,"H-6 	SOKERIKASVIT",28409,447,OSASTOLLA,pupu syÃ¶ ja pakkanenkin vikoo/ 5/2006 rh,"H-6 	SOKERIKASVIT",,,,
Acer pensylvanicum,,Pennsylvanianvaahtera,"R-O 	ARBORETUM",43022,449,OSASTOLLA,,"R-O 	ARBORETUM",,,,
Acer pictum,,,"R-O 	ARBORETUM",36965,450,OSASTOLLA,,"R-O 	ARBORETUM",,,,
Acer platanoides,,Metsävaahtera,"K-24-5 	PUISTOKASVEJA",34990,451,OSASTOLLA,,"K-24-5 	PUISTOKASVEJA",,,,
Acer platanoides,,Metsävaahtera,"K-6-2 	TUORE JA KOSTEA LEHTO",2403,451,OSASTOLLA,,"K-6-2 	TUORE JA KOSTEA LEHTO",,,,
Acer platanoides,,Metsävaahtera,"K-6-2 	TUORE JA KOSTEA LEHTO",2408,451,OSASTOLLA,,"K-6-2 	TUORE JA KOSTEA LEHTO",,,,
Acer platanoides,,Metsävaahtera,"K-7 	LEHTONIITTY",2409,451,OSASTOLLA,,"K-7 	LEHTONIITTY",,,,
Acer platanoides,,Metsävaahtera,"P-O 	PUUTARHAKASVIT OSASTO",2403,451,OSASTOLLA,,"P-O 	PUUTARHAKASVIT OSASTO",,,,
Acer platanoides,,Metsävaahtera,"P-O 	PUUTARHAKASVIT OSASTO",2408,451,OSASTOLLA,,"P-O 	PUUTARHAKASVIT OSASTO",,,,
Acer platanoides,,Metsävaahtera,"R-O 	ARBORETUM",2403,451,OSASTOLLA,,"R-O 	ARBORETUM",,,,
Acer platanoides,,Metsävaahtera,"R-O 	ARBORETUM",2405,451,OSASTOLLA,,"R-O 	ARBORETUM",,,,
Acer platanoides,,Metsävaahtera,"R-O 	ARBORETUM",2409,451,OSASTOLLA,,"R-O 	ARBORETUM",,,,
Acer platanoides,,Metsävaahtera,"S-O 	SYSTEMAATTINEN OSASTO",2409,451,OSASTOLLA,,"S-O 	SYSTEMAATTINEN OSASTO",,,,
Acer platanoides,,Metsävaahtera,"S-O 	SYSTEMAATTINEN OSASTO",25610,451,OSASTOLLA,,"S-O 	SYSTEMAATTINEN OSASTO",,,,
Acer platanoides,,Metsävaahtera,"V-4 	PERGOLA",34990,451,OSASTOLLA,,"V-4 	PERGOLA",,,,
